age_months,p3,p10,p25,p50,p75,p90,p97
0,11.4,12.2,12.7,13.7,14.6,15.2,16.1
3,14.4,15.3,15.8,16.9,18,18.6,19.7
6,15,15.9,16.5,17.5,18.6,19.2,20.3
9,15.1,16,16.5,17.5,18.6,19.3,20.4
12,14.9,15.7,16.2,17.2,18.3,18.9,20
15,14.7,15.5,16,17,18,18.6,19.7
18,14.5,15.3,15.7,16.7,17.7,18.3,19.3
24,14.3,15,15.4,16.3,17.3,17.9,19
30,14.2,14.8,15.3,16.2,17.2,17.7,18.8
36,13.9,14.6,15,15.9,17,17.6,18.7
42,13.8,14.5,14.9,15.8,16.8,17.4,18.5
48,13.7,14.4,14.8,15.7,16.7,17.3,18.4
54,13.6,14.2,14.7,15.6,16.6,17.2,18.4
60,13.5,14.2,14.6,15.5,16.5,17.1,18.3
66,13.4,14.1,14.5,15.4,16.5,17.1,18.4
72,13.4,14.1,14.5,15.4,16.5,17.2,18.5
84,13.6,14.3,14.7,15.7,16.9,17.6,19.1
96,13.8,14.5,15,16.1,17.4,18.2,19.9
108,14,14.8,15.3,16.5,18,19,21
120,14.1,15.1,15.7,17.1,18.9,20.1,22.5
132,14.6,15.8,16.5,18.2,20.4,21.7,24.5
144,15.2,16.5,17.4,19.3,21.7,23.1,26
156,15.6,17,18,19.9,22.3,23.7,26.5
168,16.4,17.7,18.6,20.5,22.8,24.2,27
180,17.2,18.5,19.4,21.2,23.4,24.8,27.6
192,18,19.3,20.1,21.9,24.1,25.4,28.2
204,18.7,19.9,20.7,22.5,24.7,26.1,28.8
216,19.2,20.5,21.3,23.1,25.2,26.6,29.4
