age_months,p3,p10,p25,p50,p75,p90,p97
0,11.4,12.2,12.6,13.5,14.4,14.9,15.8
3,13.9,14.8,15.3,16.3,17.3,17.9,18.9
6,14.7,15.4,15.9,16.9,18,18.6,19.7
9,14.8,15.5,16,17,18,18.6,19.8
12,14.6,15.3,15.7,16.6,17.7,18.2,19.4
15,14.5,15.1,15.6,16.4,17.4,18,19.1
18,14.2,14.9,15.3,16.2,17.1,17.7,18.8
24,14,14.6,15.1,15.9,16.9,17.4,18.5
30,13.9,14.6,15,15.8,16.7,17.3,18.3
36,13.8,14.4,14.8,15.5,16.4,17,17.9
42,13.7,14.3,14.7,15.5,16.4,17,18
48,13.6,14.2,14.6,15.4,16.4,17,18.1
54,13.5,14.2,14.6,15.4,16.5,17.1,18.2
60,13.4,14.1,14.5,15.4,16.5,17.2,18.5
66,13.4,14,14.5,15.5,16.6,17.3,18.8
72,13.3,14,14.5,15.5,16.7,17.5,19.1
84,13.3,14,14.5,15.6,16.9,17.8,19.7
96,13.4,14.2,14.7,15.9,17.4,18.4,20.4
108,13.6,14.5,15.1,16.4,18.1,19.2,21.5
120,13.9,14.9,15.6,17.1,19,20.2,22.6
132,14.5,15.6,16.4,18,20,21.3,23.8
144,15.3,16.5,17.3,19,21.1,22.3,24.8
156,16.3,17.5,18.3,19.9,21.9,23.1,25.4
168,17.1,18.3,19,20.6,22.5,23.6,25.8
180,17.7,18.8,19.5,21,22.8,23.9,26
192,18.1,19.1,19.8,21.2,23,24,26.1
204,18.5,19.5,20.1,21.5,23.1,24.2,26.2
216,19,19.9,20.5,21.8,23.3,24.3,26.1
