age_months,p3,p10,p25,p50,p75,p90,p97
0,45.3,46.6,47.9,49.4,50.8,52.1,53.4
3,55.3,56.8,58.2,59.9,61.5,63,64.5
6,61.6,63.1,64.7,66.4,68.2,69.7,71.3
9,66,67.7,69.3,71.2,73,74.6,76.3
12,69.7,71.4,73.2,75.1,77.1,78.8,80.5
15,72.8,74.6,76.5,78.5,80.6,82.4,84.2
18,75.5,77.4,79.3,81.5,83.7,85.6,87.6
24,80.1,82.3,84.4,86.8,89.2,91.4,93.5
30,84,86.3,88.6,91.2,93.8,96.1,98.4
36,87.8,90.2,92.7,95.4,98.1,100.6,103
42,91.1,93.6,96.2,99,101.9,104.5,107
48,94.3,96.9,99.6,102.5,105.5,108.1,110.7
54,97.4,100.1,102.8,105.9,108.9,111.6,114.3
60,100.4,103.2,105.9,109.1,112.2,114.9,117.7
66,103.6,106.3,109,112.1,115.3,118.3,121.2
72,106.2,109,111.9,115.1,118.4,121.3,124.1
84,111.6,114.6,117.7,121.1,124.4,127.5,130.5
96,116.7,119.9,123.1,126.7,130.3,133.5,136.7
108,121.3,124.7,128.2,132.1,136,139.5,142.9
120,125.8,129.6,133.5,137.9,142.2,146.1,150
132,132.5,136.6,140.8,145.4,150.1,154.2,158.3
144,141.1,144.9,148.8,153.1,157.4,161.2,165.1
156,146.6,150.2,153.8,157.8,161.8,165.5,169
168,149.3,152.8,156.4,160.4,164.3,167.9,171.4
180,150.7,154.2,157.8,161.7,165.7,169.3,172.8
192,151.3,154.8,158.4,162.4,166.3,169.9,173.4
204,151.7,155.2,158.8,162.7,166.7,170.3,173.8
216,152,155.6,159.1,163.1,167.1,170.7,174.2
