age_months,p3,p10,p25,p50,p75,p90,p97
0,2.508,2.758,3.029,3.346,3.679,4.011,4.349
3,5.093,5.477,5.891,6.376,6.886,7.395,7.916
6,6.439,6.887,7.37,7.934,8.526,9.118,9.723
9,7.241,7.737,8.274,8.901,9.562,10.223,10.901
12,7.846,8.384,8.965,9.648,10.368,11.089,11.832
15,8.376,8.952,9.577,10.311,11.087,11.866,12.67
18,8.871,9.485,10.153,10.939,11.771,12.609,13.475
24,9.806,10.5,11.256,12.152,13.104,14.067,15.068
30,10.669,11.444,12.292,13.3,14.377,15.472,16.615
36,11.441,12.293,13.228,14.343,15.54,16.763,18.045
42,12.181,13.107,14.127,15.349,16.665,18.016,19.437
48,12.903,13.906,15.016,16.349,17.792,19.279,20.85
54,13.604,14.688,15.892,17.345,18.925,20.559,22.295
60,14.289,15.458,16.759,18.337,20.06,21.85,23.76
66,15.252,16.442,17.772,19.394,21.177,23.043,25.05
72,16.107,17.364,18.779,20.514,22.435,24.461,26.658
84,17.918,19.32,20.914,22.892,25.114,27.497,30.126
96,19.764,21.337,23.144,25.416,28.011,30.843,34.029
108,21.605,23.389,25.462,28.109,31.186,34.613,38.556
120,23.583,25.633,28.042,31.159,34.842,39.02,43.931
