age_months,p3,p10,p25,p50,p75,p90,p97
24,13.685,14.29,14.95,15.736,16.578,17.098,17.989
30,13.691,14.317,14.996,15.795,16.644,17.162,18.044
36,13.483,14.115,14.798,15.599,16.444,16.958,17.828
42,13.314,13.949,14.636,15.442,16.293,16.81,17.686
48,13.188,13.825,14.517,15.333,16.198,16.727,17.626
54,13.088,13.726,14.423,15.251,16.14,16.687,17.625
60,13.011,13.646,14.348,15.192,16.108,16.679,17.671
66,13.138,13.754,14.437,15.265,16.17,16.737,17.73
72,13.157,13.775,14.465,15.306,16.236,16.825,17.864
84,13.266,13.892,14.602,15.483,16.477,17.117,18.272
96,13.423,14.067,14.805,15.737,16.81,17.515,18.814
108,13.614,14.282,15.057,16.049,17.215,17.995,19.467
120,13.864,14.563,15.381,16.443,17.712,18.576,20.24
132,14.192,14.929,15.8,16.939,18.319,19.269,21.131
144,14.597,15.381,16.31,17.533,19.026,20.062,22.11
156,15.088,15.926,16.92,18.233,19.838,20.954,23.165
168,15.64,16.537,17.602,19.005,20.716,21.903,24.244
180,16.187,17.148,18.284,19.774,21.58,22.824,25.253
192,16.693,17.717,18.923,20.495,22.382,23.669,26.149
204,17.133,18.221,19.495,21.142,23.097,24.416,26.919
216,17.498,18.65,19.99,21.708,23.719,25.059,27.563
