age_months,p3,p10,p25,p50,p75,p90,p97
0,46.325,47.461,48.616,49.884,51.134,52.307,53.443
3,57.586,58.812,60.059,61.429,62.778,64.046,65.273
6,63.6,64.884,66.19,67.624,69.036,70.363,71.647
9,67.751,69.097,70.466,71.969,73.449,74.84,76.186
12,71.281,72.707,74.157,75.749,77.317,78.79,80.216
15,74.389,75.907,77.451,79.146,80.816,82.385,83.903
18,77.188,78.806,80.452,82.259,84.039,85.711,87.33
24,82.072,83.906,85.769,87.816,89.832,91.727,93.56
30,85.531,87.574,89.651,91.933,94.18,96.291,98.334
36,89.115,91.339,93.6,96.084,98.53,100.828,103.052
42,92.397,94.776,97.195,99.852,102.468,104.927,107.306
48,95.442,97.959,100.517,103.327,106.095,108.696,111.212
54,98.367,101.016,103.709,106.667,109.581,112.318,114.967
60,101.252,104.032,106.859,109.964,113.022,115.895,118.675
66,103.989,106.837,109.731,112.911,116.043,118.985,121.833
72,106.689,109.645,112.65,115.951,119.203,122.257,125.213
84,111.797,114.968,118.192,121.734,125.222,128.499,131.671
96,116.647,120.036,123.481,127.265,130.993,134.495,137.883
108,121.263,124.87,128.537,132.565,136.533,140.26,143.867
120,125.797,129.621,133.509,137.78,141.986,145.938,149.762
132,130.459,134.497,138.603,143.113,147.555,151.728,155.766
144,135.759,140.011,144.333,149.081,153.757,158.151,162.402
156,142.079,146.535,151.066,156.043,160.945,165.55,170.007
168,148.72,153.335,158.028,163.182,168.259,173.028,177.643
180,154.286,158.969,163.729,168.958,174.109,178.947,183.63
192,158.286,162.949,167.69,172.897,178.026,182.844,187.508
204,160.79,165.377,170.039,175.161,180.206,184.945,189.532
216,162.101,166.583,171.14,176.145,181.075,185.707,190.189
