age_months,p3,p10,p25,p50,p75,p90,p97
0,2.441,2.678,2.934,3.232,3.543,3.852,4.166
3,4.606,4.971,5.371,5.846,6.353,6.867,7.403
6,5.812,6.247,6.726,7.297,7.911,8.539,9.197
9,6.565,7.049,7.584,8.225,8.919,9.633,10.388
12,7.142,7.666,8.248,8.948,9.709,10.496,11.332
15,8.173,8.768,9.43,10.232,11.107,12.018,12.991
18,8.67,9.3,10.002,10.853,11.785,12.756,13.795
24,9.162,9.829,10.574,11.478,12.468,13.501,14.61
30,10.112,10.857,11.691,12.706,13.821,14.989,16.245
36,10.962,11.789,12.717,13.85,15.101,16.415,17.835
42,11.759,12.675,13.707,14.973,16.376,17.858,19.466
48,12.513,13.522,14.663,16.07,17.637,19.301,21.118
54,13.249,14.353,15.605,17.155,18.892,20.745,22.78
60,13.967,15.163,16.525,18.219,20.126,22.172,24.428
66,14.789,16,17.388,19.128,21.107,23.256,25.66
72,15.514,16.806,18.292,20.164,22.303,24.64,27.269
84,17.05,18.517,20.216,22.374,24.866,27.617,30.751
96,18.898,20.573,22.526,25.026,27.941,31.194,34.942
108,21.118,23.041,25.297,28.204,31.622,35.471,39.954
120,23.679,25.886,28.487,31.858,35.847,40.374,45.692
