age_months,p3,p10,p25,p50,p75,p90,p97
24,13.215,13.857,14.562,15.405,16.315,16.878,17.85
30,13.338,13.981,14.687,15.528,16.432,16.991,17.953
36,13.205,13.848,14.554,15.397,16.304,16.865,17.831
42,13.069,13.726,14.448,15.312,16.245,16.823,17.821
48,12.946,13.621,14.366,15.26,16.229,16.832,17.875
54,12.863,13.558,14.326,15.252,16.259,16.887,17.978
60,12.822,13.533,14.322,15.275,16.314,16.964,18.095
66,12.846,13.527,14.296,15.246,16.314,16.998,18.224
72,12.828,13.515,14.296,15.27,16.375,17.09,18.384
84,12.866,13.568,14.378,15.404,16.591,17.375,18.825
96,13.019,13.746,14.593,15.681,16.964,17.826,19.453
108,13.28,14.041,14.935,16.096,17.486,18.432,20.251
120,13.617,14.421,15.37,16.613,18.115,19.148,21.156
132,14.042,14.898,15.912,17.246,18.866,19.984,22.173
144,14.559,15.476,16.564,17.997,19.738,20.941,23.297
156,15.117,16.1,17.267,18.801,20.662,21.944,24.444
168,15.641,16.691,17.935,19.565,21.533,22.882,25.494
180,16.076,17.187,18.499,20.213,22.269,23.67,26.361
192,16.386,17.55,18.92,20.701,22.824,24.261,26.998
204,16.577,17.786,19.204,21.037,23.207,24.665,27.417
216,16.679,17.927,19.386,21.26,23.463,24.932,27.679
