age_months,p3,p10,p25,p50,p75,p90,p97
0,2.52,2.76,3.01,3.29,3.58,3.84,4.1
3,4.48,4.9,5.33,5.82,6.32,6.78,7.24
6,5.94,6.38,6.85,7.43,8.06,8.68,9.34
9,6.85,7.34,7.89,8.55,9.29,10.02,10.82
12,7.52,8.06,8.66,9.39,10.2,11,11.87
15,8.09,8.67,9.31,10.1,10.96,11.81,12.73
18,8.57,9.19,9.87,10.71,11.63,12.55,13.54
24,9.49,10.2,10.99,11.94,12.99,14.03,15.15
30,10.35,11.17,12.06,13.12,14.25,15.33,16.47
36,11.19,12.09,13.05,14.18,15.37,16.51,17.68
42,11.9,12.8,13.9,15.1,16.5,17.8,19.3
48,12.7,13.7,14.8,16.1,17.7,19.2,20.8
54,13.5,14.5,15.8,17.3,19,20.7,22.5
60,14.2,15.4,16.7,18.4,20.3,22.2,24.3
66,14.9,16.2,17.7,19.5,21.6,23.7,26.1
72,15.7,17,18.6,20.6,22.9,25.3,27.9
84,17.2,18.7,20.6,22.9,25.7,28.6,31.9
96,18.9,20.8,22.9,25.7,28.9,32.4,36.5
108,20.9,23.1,25.6,28.9,32.8,37,41.8
120,23,25.6,28.7,32.6,37.3,42.3,48
132,26.4,29.6,33.4,38.2,43.7,49.5,55.9
144,32,35.8,39.9,45.1,50.9,56.8,63.1
156,37.4,41.1,45.1,50,55.5,60.8,66.6
168,41.6,45,48.8,53.3,58.3,63.2,68.5
180,44,47.3,50.9,55.3,60.1,64.8,69.8
192,45.3,48.5,52,56.3,61,65.7,70.7
204,46.2,49.4,52.9,57.2,61.8,66.4,71.4
216,47.3,50.5,53.9,58.1,62.2,67.3,72.2
