age_months,p3,p10,p25,p50,p75,p90,p97
0,2.58,2.85,3.13,3.43,3.73,4,4.27
3,4.75,5.26,5.79,6.38,6.99,7.54,8.1
6,6.21,6.79,7.41,8.12,8.85,9.54,10.25
9,7.27,7.87,8.51,9.26,10.06,10.81,11.58
12,7.96,8.61,9.32,10.16,11.05,11.92,12.82
15,8.61,9.28,10.01,10.89,11.83,12.75,13.72
18,9.13,9.82,10.58,11.49,12.48,13.46,14.49
24,10.12,10.85,11.66,12.66,13.76,14.86,16.05
30,11.06,11.84,12.71,13.8,15.04,16.29,17.69
36,11.81,12.65,13.61,14.83,16.24,17.71,19.39
42,12.6,13.5,14.6,15.9,17.04,18.9,20.6
48,13.3,14.3,15.4,16.8,18.5,20.1,22
54,14,15,16.2,17.7,19.5,21.3,23.3
60,14.7,15.8,17,18.6,20.5,22.4,24.6
66,15.4,16.5,17.9,19.6,21.6,23.6,26
72,16.2,17.4,18.9,20.7,22.8,25.1,27.7
84,18.1,19.5,21.1,23.2,25.8,28.5,31.6
96,19.9,21.5,23.4,25.9,28.9,32.2,36.1
108,21.7,23.6,25.8,28.8,32.4,36.4,41.3
120,23.6,25.9,28.6,32.2,36.7,41.6,47.8
132,26.6,29.6,33.1,37.8,43.6,50,57.8
144,29.9,33.8,38.4,44.3,51.3,58.7,67.1
156,33.4,38,43.2,49.8,57.3,64.9,73.3
168,39.1,44,49.4,56.2,63.9,71.6,80.1
180,45.3,50.1,55.4,62.1,69.7,77.4,85.9
192,49.9,54.5,59.7,66.2,73.6,81.2,89.6
204,53.2,57.8,62.8,69.2,76.5,84,92.4
216,56.1,60.5,65.5,71.8,79,86.4,94.7
