age_months,p3,p10,p25,p50,p75,p90,p97
0,45.9,47.2,48.5,50,51.5,52.9,54.2
3,56.2,57.8,59.5,61.3,63.2,64.8,66.4
6,62.8,64.5,66.2,68,69.9,71.6,73.2
9,67.4,69.1,70.9,72.8,74.7,76.4,78.1
12,70.8,72.7,74.7,76.9,79.1,81.1,83
15,73.8,75.8,77.9,80.2,82.5,84.5,86.6
18,76.4,78.5,80.7,83.1,85.5,87.7,89.8
24,81,83.3,85.6,88.2,90.8,93.2,95.5
30,85.3,87.6,90,92.6,95.3,97.6,100
36,89.3,91.7,94.1,96.8,99.4,101.8,104.2
42,92.8,95.2,97.7,100.5,103.2,105.7,108.2
48,96,98.6,101.1,104,106.9,109.5,112
54,99,101.7,104.3,107.3,110.3,113,115.6
60,101.8,104.5,107.3,110.4,113.5,116.2,119
66,104.5,107.3,110.1,113.3,116.4,119.3,122.1
72,107.1,110,112.9,116.1,119.3,122.2,125.1
84,112.1,115.1,118.2,121.5,124.9,128,131
96,116.9,120,123.3,126.9,130.5,133.7,136.9
108,121.6,124.9,128.3,132.1,135.9,139.3,142.7
120,126.4,130,133.6,137.6,141.6,145.2,148.7
132,131.7,135.5,139.4,143.8,148.1,152,155.9
144,137,141.3,145.7,150.6,155.4,159.8,164.1
156,142.8,147.6,152.4,157.7,163.1,167.9,172.6
168,150.3,155,159.7,164.9,170.1,174.8,179.5
180,156.9,161.2,165.5,170.3,175.1,179.4,183.7
192,160.9,164.9,168.9,173.4,177.9,181.9,185.9
204,163,166.8,170.7,175,179.3,183.2,187.1
216,164.5,168.2,172,176.2,180.4,184.2,187.9
