age_months,p3,p10,p25,p50,p75,p90,p97
0,45.646,46.763,47.9,49.148,50.377,51.532,52.65
3,55.845,57.108,58.393,59.803,61.192,62.497,63.76
6,61.47,62.83,64.213,65.731,67.227,68.632,69.992
9,65.602,67.051,68.525,70.144,71.738,73.236,74.685
12,69.174,70.719,72.29,74.015,75.714,77.311,78.856
15,72.36,74.004,75.675,77.51,79.318,81.016,82.66
18,75.249,76.991,78.762,80.708,82.624,84.425,86.167
24,80.349,82.285,84.253,86.415,88.545,90.546,92.482
30,84.043,86.161,88.314,90.68,93.01,95.198,97.316
36,87.893,90.178,92.5,95.052,97.565,99.925,102.21
42,91.401,93.841,96.321,99.045,101.728,104.249,106.688
48,94.633,97.218,99.845,102.731,105.574,108.245,110.829
54,97.648,100.369,103.136,106.175,109.168,111.981,114.702
60,100.481,103.335,106.236,109.423,112.563,115.512,118.366
66,102.898,105.859,108.869,112.175,115.432,118.492,121.452
68,103.699,106.715,109.781,113.149,116.467,119.585,122.600
72,105.5,108.571,111.694,115.124,118.503,121.677,124.749
84,110.533,113.813,117.148,120.811,124.419,127.808,131.088
96,115.656,119.135,122.671,126.556,130.382,133.977,137.455
108,121.006,124.673,128.4,132.494,136.527,140.316,143.982
120,126.611,130.449,134.351,138.636,142.858,146.824,150.662
132,132.498,136.485,140.54,144.993,149.38,153.5,157.488
144,138.373,142.477,146.65,151.233,155.747,159.988,164.092
156,143.325,147.49,151.724,156.375,160.956,165.26,169.425
168,146.736,150.902,155.137,159.789,164.371,168.676,172.842
180,148.737,152.864,157.06,161.669,166.209,170.474,174.602
192,149.757,153.829,157.969,162.516,166.995,171.203,175.275
204,150.274,154.289,158.371,162.855,167.271,171.42,175.435
216,150.635,154.6,158.632,163.06,167.421,171.519,175.484
